ts_utc,city,lat,lon,temp_c,feelslike_c,condition_text,humidity,wind_kph,wind_dir,pressure_mb,precip_mm,cloud,uv,is_day
2026-01-01T00:52:14Z,Chennai,13.0833,80.2833,24.7,26.8,Cloudy,84,12.6,NNE,1011.0,0.0,68,0.0,0
2026-01-01T00:52:15Z,Mumbai,18.975,72.826,22.0,22.0,Clear,70,10.1,ENE,1012.0,0.0,0,0.0,0
2026-01-01T00:52:15Z,Delhi,42.85,-80.5,-3.8,-10.9,Patchy light snow,92,36.0,W,1002.0,0.69,50,0.0,0
2026-01-01T00:52:15Z,Bengaluru,12.9833,77.5833,18.9,19.0,Partly Cloudy,85,7.2,SSW,1012.0,0.0,48,0.0,0
2026-01-01T00:52:16Z,Kolkata,22.5697,88.3697,12.6,12.2,Sunny,39,7.2,NNW,1014.0,0.0,0,0.0,1
2026-01-01T00:52:16Z,Hyderabad,17.3753,78.4744,16.7,16.7,Clear,88,9.4,ESE,1012.0,0.0,8,0.0,0
2026-01-01T00:52:16Z,Pune,18.5333,73.8667,13.5,13.5,Clear,79,3.6,NW,1014.0,0.0,0,0.0,0
2026-01-01T00:52:17Z,Ahmedabad,23.0333,72.6167,19.4,19.4,Clear,70,3.6,W,1012.0,0.0,19,0.0,0
2026-01-01T04:04:40Z,Chennai,13.0833,80.2833,24.3,26.2,Light drizzle,94,15.5,NNE,1013.0,0.07,75,3.4,1
2026-01-01T04:04:40Z,Mumbai,18.975,72.826,22.1,24.6,Mist,78,10.4,E,1014.0,0.0,75,2.2,1
2026-01-01T04:04:40Z,Delhi,42.85,-80.5,-6.9,-15.7,Light snow,77,31.7,WNW,1004.0,0.19,0,0.0,0
2026-01-01T04:04:41Z,Bengaluru,12.9833,77.5833,22.2,24.6,Mist,83,9.0,SW,1017.0,0.01,50,3.4,1
2026-01-01T04:04:41Z,Kolkata,22.5697,88.3697,16.1,16.1,Mist,82,10.1,NNW,1016.0,0.0,0,3.0,1
2026-01-01T04:04:41Z,Hyderabad,17.3753,78.4744,21.3,21.3,Fog,83,8.3,SE,1018.0,0.0,25,2.7,1
2026-01-01T04:04:42Z,Pune,18.5333,73.8667,19.6,19.6,Sunny,55,3.6,NE,1016.0,0.0,0,2.5,1
2026-01-01T04:04:42Z,Ahmedabad,23.0333,72.6167,21.3,21.3,Mist,73,6.1,NNE,1014.0,0.0,50,1.6,1
